crs,adt,count,sum
15150,11320,8,4010624
15150,11330,9,1840983
15150,11420,23,6766980
15150,11430,5,890321
15150,12000,2,462880
15150,12005,3,1065339
15150,12100,1,308024
15150,12105,1,43062
15150,12110,8,2838981
15150,12191,10,3835306
15150,12220,22,9669078
15150,12230,2,803210
15150,12250,5,1105315
15150,12261,4,7800874
15150,13000,1,789503
15150,13010,19,15410024
15150,13020,9,3080370
15150,13030,7,5860612
15150,13040,17,5591893
15150,14000,1,442121
15150,14005,2,163601
15150,14010,2,6355942
15150,14015,1,749179
15150,14020,1,45866
15150,14030,2,532090
15150,15000,50,36643043
15150,15100,310,363862380
15150,15105,269,161427200
15150,15110,646,612494723
15150,15120,122,34669481
15150,15130,208,207255775
15150,15140,860,776496026
15150,15150,9588,8868991130
15150,15200,2,2242914
15150,15205,173,129342660
15150,15210,67,77259933
15150,15220,327,202226452
15150,15230,60,40512958
15150,15240,24,5349995
15150,15250,19,5184477
15150,15261,2,11405
15150,16010,1500,598004458
15150,16020,123,83112000
15150,16030,14,6360292
15150,16050,53,33263089
15150,16081,26,12744037
15150,21020,11,43896338
15150,21040,1,51116
15150,21050,1,112957
15150,22000,1,24700
15150,22005,2,268450
15150,22010,5,642477
15150,22020,3,92092
15150,22030,29,2979979
15150,22040,19,1138090
15150,22081,9,390807
15150,23010,2,68971
15150,24005,1,2690
15150,24010,3,848385
15150,24030,10,4145552
15150,24040,8,2279670
15150,25010,108,50170386
15150,25020,3,567128
15150,31000,1,49087
15150,31100,1,122676
15150,31105,6,1246192
15150,31110,15,3183912
15150,31120,18,8929113
15150,31130,3,974583
15150,31140,1,363392
15150,31181,10,4917831
15150,31182,1,44264
15150,31191,18,11563805
15150,31205,1,31302
15150,31210,5,10401768
15150,31220,2,504870
15150,31310,2,510569
15150,31391,1,140093
15150,32110,1,233592
15150,32120,6,6774654
15150,32140,4,698372
15150,32181,1,209048
15150,32205,2,113493
15150,32210,1,124578
15150,32220,5,1223964
15150,32310,4,2733974
15150,33105,3,377289
15150,33110,24,8110641
15150,33120,1,440574
15150,33130,4,352258
15150,33181,1,1270162
15150,33210,7,3437675
15150,41000,5,2168059
15150,41005,9,3649897
15150,41010,28,17237128
15150,41020,1,1279710
15150,41030,3,1305418
15150,41040,3,957548
15150,41081,5,353748
15150,41082,4,167131
15150,42010,227,73806378
15150,43010,168,139199811
15150,43030,116,352790813
15150,43040,165,128687181
15150,43050,1,7513528
15150,43081,29,7132310
15150,43082,44,8021799
15150,51010,352,517085594
15150,52010,17,23467183
15150,60010,6,1872443
15150,60020,1,77356
15150,60030,2,417753
15150,72000,1,372908
15150,72010,54,21818999
15150,72050,2,858267
15150,73010,44,227177907
15150,74010,25,12218181
15150,91010,397,84613958
15150,92000,12,2161313
15150,92005,238,500962732
15150,92010,123,87202086
15150,92020,153,263293207
15150,92030,472,103589345
15150,93010,2,861432
15150,99810,716,689810079
15150,99820,18,20407636
15151,11220,2,15311
15151,11320,2,939838
15151,11420,1,30927
15151,13010,3,883705
15151,15000,3,6467883
15151,15100,27,123206713
15151,15105,7,476015
15151,15110,5,2090630
15151,15120,2,1933542
15151,15130,17,4320689
15151,15140,124,29798527
15151,15150,3059,2981932531
15151,15205,4,2033200
15151,15210,5,246091
15151,15220,10,2941365
15151,15230,8,14001249
15151,15240,1,204809
15151,16010,4,311436
15151,16020,2,799856
15151,16050,1,1225087
15151,16081,1,38500
15151,21020,1,359649
15151,22030,3,2220453
15151,24010,1,1555
15151,25010,1,100825
15151,42010,8,4191636
15151,43010,4,5123623
15151,51010,2,107451
15151,70000,4,49859729
15151,72010,1,4240959
15151,72050,3,1024989
15151,73010,7,23496890
15151,91010,16,3860961
15151,92005,4,669760
15151,92010,3,420722
15151,92020,3,1412357
15151,92030,4,1434142
15151,99810,26,6015372
15152,15140,7,2275814
15152,15150,31,24151917
15152,15205,1,103331
15152,91010,49,1835196
15153,11105,2,750106
15153,11110,1,475728
15153,11120,12,8382213
15153,11220,1,634252
15153,11420,6,11304601
15153,11430,1,2265
15153,13010,4,1773117
15153,13040,1,547477
15153,15000,10,2671466
15153,15100,17,5264493
15153,15105,9,1744560
15153,15110,53,18684072
15153,15120,8,193251
15153,15130,17,3993281
15153,15140,41,65563027
15153,15150,2021,1129864998
15153,15205,8,4196448
15153,15210,10,1612237
15153,15220,24,7331137
15153,15230,8,3140027
15153,15240,2,111761
15153,15250,1,2561957
15153,16010,73,21332900
15153,16020,11,2421799
15153,16050,1,223614
15153,21020,1,297560
15153,22005,24,12291608
15153,22010,38,15476445
15153,22020,2,255739
15153,22030,107,40061026
15153,22040,27,7893460
15153,22081,13,6146669
15153,24010,1,5042760
15153,24030,7,1080997
15153,25010,9,4524062
15153,25020,2,31788
15153,31220,1,99690
15153,32210,1,52335
15153,33130,1,138115
15153,41005,4,217258
15153,41010,1,185035
15153,41081,1,11973
15153,42010,17,5285896
15153,43010,6,9116363
15153,43030,4,251148
15153,43040,1,41834
15153,43081,2,119856
15153,43082,20,3919850
15153,51010,25,4941971
15153,72000,1,393038
15153,73010,3,651155
15153,74010,1,298590
15153,91010,2,167381
15153,92005,6,2844478
15153,92020,4,240308
15153,92030,3,98570
15153,99810,115,16328035
15153,99820,3,732098
15160,11000,1,881746
15160,11105,30,6255115
15160,11110,13,2873251
15160,11120,36,12371398
15160,11130,2,83459
15160,11182,1,449204
15160,11220,6,689377
15160,11230,3,737453
15160,11240,2,160301
15160,11320,3,66765
15160,11330,1,77347
15160,11420,24,3706086
15160,12005,1,19449
15160,12110,5,663808
15160,12181,3,899566
15160,12182,1,260220
15160,12191,12,3028145
15160,12220,11,10384270
15160,12230,1,77138
15160,12240,1,91508
15160,12261,1,857734
15160,12281,1,60707
15160,13010,37,17822573
15160,13020,58,11657395
15160,13040,7,643381
15160,14005,1,10885
15160,14010,1,99187
15160,14020,1,11302
15160,15000,113,20235440
15160,15100,261,104932267
15160,15105,78,37088013
15160,15110,167,87574563
15160,15120,34,15257538
15160,15130,674,285471928
15160,15140,148,115403969
15160,15150,8819,3925703198
15160,15200,1,803779
15160,15205,132,70662499
15160,15210,68,27157580
15160,15220,319,183123429
